id,first_name,last_name,matches,goals,wins,age
97,Tonnie,Marchenko,15,116,167,2
98,Brigitte,Fabler,20,129,167,9
99,Joelle,Trusslove,165,624,62,27
100,Pattie,Grishenkov,51,842,115,27
101,Federica,Postance,141,72,73,39
102,Ingelbert,Margetson,77,499,140,3
103,Lonnie,McIlvenny,6,512,115,35
104,Amos,Swalwel,32,698,45,2
105,Piggy,Mar,141,387,61,36
106,Ninnetta,Perritt,176,172,42,10
107,Yorgos,Andres,74,122,134,18
108,Philis,Hallgate,66,60,60,8
109,Thea,Launchbury,114,586,191,2
110,Mikol,Stonelake,82,576,178,10
111,Karon,Lafford,106,785,109,15
112,Dory,Rubinshtein,177,779,94,19
113,Hunter,Carmo,117,259,93,2
114,Lolly,Fiddy,77,285,18,7
115,Sapphira,Somersett,175,894,168,8
116,Marigold,Burnyate,197,280,182,36
117,Dennie,Lanktree,98,151,174,8
118,Georgia,Stavers,62,253,49,34
119,Benjamen,Stoves,133,275,68,7
120,Donna,Twaite,174,901,197,7
121,Skipper,Brimilcome,13,171,165,4
122,Antonie,Kay,178,296,188,13
123,Ulrich,Furnell,155,784,46,30
124,Merrill,Lancastle,129,484,173,13
125,Ari,Whymark,155,13,44,39
126,Farr,Lamyman,59,979,147,4
127,Lewes,Wagenen,172,402,89,14
128,Fielding,Lynn,32,94,126,34
129,Beckie,Ingleson,197,423,174,27
130,Ibrahim,Dederich,159,256,46,35
131,Kania,Elms,135,971,65,17
132,Veronika,Bartolacci,99,229,78,7
133,Anthe,Yakovitch,81,501,64,26
134,Olav,Haps,7,318,186,20
135,Calypso,Burton,95,951,158,19
136,Dario,Glynne,42,832,186,31
137,Nicoline,Lyte,71,777,1,8
138,Ced,Lamble,119,358,83,1
139,Ulrica,O'Leagham,180,135,5,39
140,Odessa,Dewett,197,165,156,12
141,Myranda,Mileham,105,565,100,11
142,Malvin,Duffyn,152,854,193,13
143,Polly,Bavage,14,267,48,24
144,Joelle,Amps,7,867,90,11
145,Leyla,Kryzhov,134,723,112,19
146,Marjory,Vedekhov,99,784,92,9
147,Shina,Braybrookes,58,466,152,37
148,Bianca,Hambric,121,653,25,12
149,Alfredo,Stannett,25,197,172,4
150,Sunshine,Rudiger,68,951,92,27
151,Ingram,Robertazzi,4,313,32,34
152,Max,Vlasyuk,102,961,115,7
153,Miriam,Jose,118,279,9,9
154,Nikos,Luggar,39,254,132,23
155,Vitia,Eadie,111,225,158,34
156,Shanna,Langman,161,760,87,5
157,Marilin,Makepeace,51,93,14,26
158,Zolly,Yukhnev,41,758,47,39
159,Bar,Doutch,165,809,64,9
160,Nanine,Beecham,41,127,41,13
161,Christa,Roder,133,904,85,37
162,Sibyl,Brewood,50,816,30,38
163,Carline,Bisseker,71,128,81,30
164,Hakeem,Glynne,56,311,117,10
165,Winonah,Veness,126,470,57,21
166,Cathee,Belsham,14,941,70,18
167,Joby,Yellowlee,159,78,51,37
168,Nickola,Ludlamme,180,61,84,14
169,Tandi,Cheson,31,400,193,5
170,Betteanne,Happer,189,963,72,22
171,Immanuel,Duferie,152,103,127,2
172,Ermentrude,Glamart,11,218,72,16
173,Rhys,Guilloton,19,200,68,4
174,Inglis,Jaime,79,744,49,22
175,Noella,Antognazzi,166,621,10,28
176,Lizzie,Kopecka,130,469,43,31
177,Neville,Thombleson,142,391,64,21
178,Odille,Durn,1,221,17,16
179,Rheta,Petyakov,148,811,134,38
180,Braden,Sadlier,90,717,149,23
181,Camel,Pallis,140,353,168,18
182,Jarvis,Michurin,187,131,4,37
183,Dianemarie,Wolver,73,861,108,29
184,Rockwell,Standrin,15,271,51,26
185,Philipa,Seabright,96,582,68,15
186,Chiarra,Duffill,87,928,138,20
187,Cornelia,Huxton,11,208,189,28
188,Lindy,Bonnette,173,235,174,18
189,Terrence,Pattison,75,761,177,13
190,Rudolfo,MacMechan,127,795,64,17
191,Worthington,Gregoratti,148,294,13,36
192,Wainwright,Stud,176,733,58,3
193,Aurilia,Philpotts,11,635,155,12
194,Lorne,Shackel,159,826,167,16
195,Eben,Chue,154,429,63,14
196,Shelia,Espinheira,196,917,123,1
197,Dun,Hucker,139,240,71,2
198,Korella,Alsina,139,148,150,14
199,Deanne,De Castri,132,129,127,35
200,Gordy,Cantle,78,881,175,7
201,Marve,Ciccarello,125,164,52,10
202,Chic,Sagg,68,350,19,31
203,Tedd,Lagde,130,367,102,16
204,Emmit,Scawen,9,249,108,15
205,Hamid,Barracks,91,218,68,9
206,Marga,McFetridge,70,278,67,16
207,Ottilie,Parradye,79,278,113,16
208,Max,Farbrother,160,391,5,11
209,Thea,Simonutti,55,947,128,10
210,Murielle,Cann,43,242,186,7
211,Sean,Kirgan,32,471,86,15
212,Maryjane,Molesworth,178,345,110,28
213,Lukas,Songest,38,4,122,10
214,Shina,Yorkston,56,559,11,25
215,Cirstoforo,Collerd,119,61,59,25
216,Maure,Papen,82,756,106,21
217,Mack,Ablewhite,41,790,121,10
218,Auria,Humby,120,264,22,39
219,Dell,Longcaster,72,835,3,31
220,Ashby,Dockrey,188,653,196,31
221,Hermie,Tonkin,33,132,127,20
222,Deck,Labarre,189,684,57,5
223,Hewett,Abbyss,28,136,168,5
224,Minta,Phillcock,58,930,189,2
225,Diahann,MacMearty,47,570,51,15
226,Adele,McConville,182,756,7,37
227,Dav,Gibbings,17,589,157,7
228,Vivian,Dietmar,63,982,36,3
229,Isabella,Duester,166,107,77,29
230,Bobbie,Noon,56,945,156,18
231,Lelah,Mauchlen,164,277,74,33
232,Chance,Aujouanet,118,224,155,34
233,Angie,Breydin,123,53,9,14
234,Casey,Di Dello,199,682,127,17
235,Gerhard,Stollenbeck,55,952,59,27
236,Adella,Antonutti,190,787,33,34
237,Rockwell,Beasley,87,190,60,5
238,Paolina,Yude,45,215,42,16
239,Dalia,Capelen,38,134,121,31
240,Hervey,Kinde,33,55,60,8
241,Ralph,Ace,113,977,48,37
242,Raffaello,Alleyn,192,344,74,19
243,Lizzie,O' Byrne,142,655,9,25
244,Zaneta,Halbert,62,429,198,5
245,Judah,Liddyard,64,187,39,31
246,Freedman,Mansuer,45,916,105,26
247,Darrin,Braisby,69,766,101,32
248,Rog,Ffrench,160,576,185,6
249,Noni,Khan,66,550,149,8
250,Valli,Tommen,52,170,88,25
251,Sorcha,Blaszczak,152,265,147,6
252,Virgie,Breakey,175,465,71,17
253,Samuele,Risborough,123,600,42,25
254,Morna,Poltone,116,979,37,19
255,Vasili,Kliemchen,115,743,175,19
256,Stormi,Accombe,196,323,42,36
257,Bendicty,Pietruszewicz,168,661,185,12
258,Gregorio,Poundsford,22,711,168,15
259,Jessi,McKenna,185,361,95,31
260,Mersey,Gladwish,161,370,65,36
261,Danella,Luckhurst,57,688,75,33
262,Ralph,Mistry,65,929,12,30
263,Claus,Flear,170,843,66,17
264,David,Farres,152,233,121,15
265,Benedetto,Gagg,86,746,120,30
266,Roldan,Pankettman,70,185,62,31
267,Siegfried,Gotcliff,180,587,10,27
268,Garry,Spini,24,879,104,24
269,Denys,Silley,168,82,136,37
270,Ravid,Kubik,89,988,125,10
271,Jaime,Noblet,65,585,167,14
272,Anne,Muro,177,904,67,9
273,Kimbell,Insko,21,684,119,29
274,Deana,Stanesby,134,103,105,11
275,Halley,Milton,121,819,65,28
276,Adore,Wilmut,109,891,53,39
277,Emery,Corde,137,148,144,21
278,Shirlene,McConville,177,110,106,38
279,Sutherlan,Crallan,130,370,120,24
280,Neron,Queenborough,121,94,198,9
281,Oren,Jiranek,186,741,31,3
282,Frankie,Cassar,190,592,84,13
283,Englebert,Fenna,74,567,109,33
284,Sholom,Cabel,28,14,79,22
285,Kamilah,Mullinder,190,503,175,8
286,Marjy,Campione,138,352,183,7
287,Jourdain,Aylward,19,657,51,19
288,Pet,Rolstone,102,796,169,5
289,Isobel,Coggings,29,894,3,39
290,Phedra,Stothart,194,400,183,23
291,Cris,Wiltshaw,55,218,67,37
292,Lori,Bagguley,87,360,75,23
293,Brynne,O'Bradane,149,223,19,12
294,Celka,Poli,182,856,2,39
295,Gian,Brosnan,151,780,168,1
296,Elton,Cookman,33,463,172,10
297,Diann,Warner,27,943,93,29
298,Elvera,Grieg,110,516,32,27
299,Aubrey,McGrotty,13,328,196,6
300,Buddie,Horsefield,144,46,188,26
301,Elsworth,Rounce,51,208,19,21
302,Kimberlee,Cossins,175,838,190,10
303,Corey,Dmitriev,103,542,74,11
304,Janos,Broschek,87,178,164,10
305,Faustine,Dawton,115,993,29,39
306,Perice,Curzon,194,253,166,9
307,Chrissy,Pendrigh,3,83,1,16
308,Nerti,Alexsandrov,156,323,58,31
309,Cristen,Barge,64,466,97,10
310,Estrella,Allicock,160,354,127,19
311,Maible,Fenners,14,159,130,12
312,Arden,Dunhill,56,43,10,18
313,Fair,Berni,74,839,133,12
314,Turner,Dudbridge,164,629,29,36
315,Barbie,Saunderson,69,401,155,10
316,Flore,Doddemeede,190,164,30,33
317,Marten,Doohey,115,220,178,40
318,Gun,Moutray Read,44,884,142,14
319,Von,Netti,161,393,142,26
320,Devora,Bynold,149,999,85,4
321,Boris,Aldhous,85,151,10,21
322,Leonanie,St. Pierre,69,138,131,37
323,Art,Hegarty,102,683,173,40
324,Bobbye,Clemmow,9,169,64,15
325,Quinta,Blower,165,623,128,16
326,Ursola,Wales,7,762,129,28
327,Anneliese,Wattins,75,423,39,37
328,Tiler,Pettigrew,82,197,54,27
329,Boyd,Scarlan,1,436,99,22
330,Iolanthe,Duffy,199,433,101,16
331,Marti,London,115,764,181,21
332,Romona,Kwietek,103,678,87,30
333,Tedie,Chartre,199,92,46,33
334,Querida,Hugh,189,642,193,21
335,Ibrahim,Briggs,178,806,92,16
336,Bearnard,Klishin,108,644,115,20
337,Saxe,Bartoloma,133,705,135,40
338,Angel,Causey,3,621,147,31
339,Garrik,Gilling,24,391,85,32
340,Jena,Baytrop,114,78,24,29
341,Bancroft,Richt,149,471,119,13
342,Natalee,Le Prevost,68,328,160,11
343,Kimberli,Manske,83,960,74,25
344,Ade,Brobyn,7,719,130,19
345,Benjy,Mynard,61,863,48,1
346,Brendan,Shawl,59,402,55,35
347,Vic,Poyner,7,399,6,24
348,Corrina,Mein,110,611,33,3
349,Latrena,Hannah,16,519,156,40
350,Stanislas,Yeld,45,811,88,22
351,Wynn,Gammel,138,901,79,23
352,Fae,Zecchini,190,686,26,39
353,Mose,Driver,26,736,41,36
354,Letizia,Kirsz,147,88,95,32
355,Daffie,Korfmann,140,343,163,40
356,Forbes,Cordes,47,274,137,29
357,Emmanuel,McBryde,153,237,155,31
358,Tisha,Bantham,68,377,128,31
359,Tarah,Heugle,188,720,79,17
360,Chandra,Petersen,187,232,124,37
361,Valentine,Drummer,66,230,125,5
362,Terry,Trowbridge,20,716,153,26
363,Baily,Learned,180,817,89,24
364,Allyn,Allbon,149,842,7,8
365,Priscilla,Danett,6,324,64,33
366,Olag,Scourgie,74,765,103,22
367,Edin,Scuse,6,691,100,10
368,Frankie,Pellissier,192,419,44,20
369,Debera,Slowgrove,138,202,135,16
370,Leeland,Joiris,176,217,88,1
371,Philipa,Durno,174,521,13,8
372,Jacenta,Deschelle,84,166,33,6
373,Inez,Kettlestringes,45,800,197,19
374,Nap,Olanda,35,263,19,3
375,Dermot,Nannoni,182,513,102,4
376,Letizia,Readman,120,503,195,13
377,Ines,Dyott,92,576,19,2
378,Cathie,Kittiman,91,974,18,8
379,Willey,D'Alessio,12,125,74,4
380,Lilla,Matieu,121,822,58,40
381,Georas,Ketteridge,164,65,108,11
382,Alejandra,Albarez,84,857,155,16
383,Larine,Downing,175,638,188,6
384,Antonetta,Quincee,109,810,62,20
385,Ephrem,Eyam,114,649,127,36
386,Dorothea,Smethurst,121,141,166,10
387,Austine,Bathurst,147,99,38,6
388,Ginnie,Litel,183,483,29,23
389,Garvy,Drinkhill,171,960,55,33
390,Tiena,Spirit,68,549,107,17
391,Arluene,Burd,185,960,67,7
392,Malachi,Stern,60,672,4,27
393,Alyse,Frarey,69,200,157,38
394,Marcos,Bilovsky,27,283,8,9
395,Eugen,Marks,148,441,113,21
396,Harwilll,Robatham,66,89,131,9
397,Jasmin,Dunlap,164,855,94,19
398,Phineas,Gilbart,114,88,73,24
399,Laurence,Hedley,23,974,160,28
400,Katheryn,Maestro,46,907,13,27
401,Fania,Methley,154,409,179,38
402,Stanwood,Colleck,97,693,182,36
403,Nil,Doding,75,340,65,30
404,Elfreda,Ragbourne,18,723,85,32
405,Ty,Girardeau,134,664,125,24
406,Hildegaard,Clissell,160,30,53,15
407,Whitby,Petran,187,612,85,1
408,Katleen,Jukes,174,888,193,18
409,Alene,Eliasen,128,979,104,20
410,Ashlin,Burhouse,33,197,186,4
411,Marybeth,Challis,111,748,100,39
412,Abey,Segrave,48,698,147,21
413,Beltran,Gregorace,183,190,48,1
414,Dyan,Cheales,108,954,153,20
415,Skipper,Purselowe,10,196,94,8
416,Felipa,Yare,154,702,18,5
417,Abigael,Cossey,182,587,78,39
418,Mallory,Tasker,80,521,168,39
419,Adrianna,Mannering,15,792,102,17
420,Gabi,Maybery,21,390,39,11
421,Prudy,Lumsdon,12,163,192,33
422,Amata,Fagg,199,656,129,14
423,Immanuel,Jakolevitch,7,670,56,20
424,Patin,Ottey,4,122,16,39
425,Gerald,Carstairs,34,410,5,39
426,Gina,Crockford,10,728,28,15
427,Barn,Paddemore,133,995,145,17
428,Talbot,Gillean,130,669,159,27
429,Jeremy,Hayer,125,903,189,26
430,Rosina,Eley,96,139,39,36
431,Goldie,Denning,44,330,82,40
432,Janek,Martello,2,941,97,36
433,Beverley,Stammler,150,11,105,5
434,Martguerita,Dudill,121,121,70,39
435,Karoline,Hundey,12,692,48,10
436,Ronda,Ivett,139,626,2,27
437,Linn,Scarf,43,833,16,15
438,Vivian,Smart,10,313,81,19
439,Pierette,Satchell,124,426,193,31
440,Warden,Pipkin,47,406,106,6
441,Ariana,Geistbeck,5,919,20,10
442,Courtnay,Liddiard,186,352,194,37
443,Deloria,Diffley,193,37,138,33
444,Mead,Randell,145,507,6,4
445,Ermengarde,Cullimore,51,18,178,25
446,Haskel,Eastbury,157,614,27,24
447,Gloria,Ratie,178,788,105,22
448,Arleta,Fawke,96,396,57,19
449,Vasilis,Grimsdike,131,416,126,10
450,Bellanca,Cattle,44,547,89,17
451,Andriette,Probbing,138,669,107,34
452,Mathe,Bernardelli,184,827,80,34
453,Ivonne,Noble,27,920,159,6
454,Tamar,Crunkhurn,26,503,3,34
455,Sorcha,Harsnipe,122,849,30,16
456,Rayshell,Strutley,46,922,92,32
457,Matilda,Vickerstaff,88,91,121,29
458,Claudian,Hallas,191,250,51,25
459,Iolanthe,Seamer,46,4,27,20
460,Ingar,Harmstone,151,928,38,5
461,Kinny,Syred,133,848,161,24
462,Muhammad,Legon,39,45,13,24
463,Clare,Windless,154,838,158,32
464,Gannie,Iacovelli,193,317,131,22
465,Chrysler,McDoual,57,98,142,36
466,Bryanty,Manntschke,43,604,52,39
467,Koren,Hamlett,8,242,187,13
468,Madel,Bastide,103,927,76,34
469,Cecilia,Sharland,48,324,108,35
470,Brook,Campelli,33,560,193,23
471,Raphaela,Cromly,172,844,104,2
472,Caril,Musto,95,31,15,36
473,Randall,Benitti,189,758,114,11
474,Shamus,Papaminas,25,366,181,6
475,Jedd,O'Neil,93,362,13,20
476,Iver,Caruth,105,386,120,38
477,Kip,Stidson,127,163,190,34
478,Cilka,Polamontayne,192,595,11,7
479,Kimball,Eneas,115,660,40,26
480,Maryellen,Brashaw,65,547,173,17
481,Jorry,Bonnell,149,876,127,3
482,Winn,Ivey,67,399,80,27
483,Fabiano,Roberson,138,600,72,25
484,Baxy,Loache,123,555,132,20
485,Theodora,Zanioletti,142,556,53,29
486,Friederike,Tommaseo,22,865,48,3
487,Frannie,Hinz,22,328,98,14
488,Lynnelle,Burburough,105,316,62,36
489,Whitaker,Coom,72,414,99,8
490,Tamra,Fownes,157,635,164,13
491,Lina,Stirling,30,95,103,36
492,Krysta,Mathews,111,578,79,17
493,Keir,Bielfelt,97,625,38,23
494,Patty,Harmer,22,979,52,16
495,Nat,Ary,51,322,141,14
496,Stacie,Drillingcourt,80,348,15,34
497,Klemens,Cowley,30,910,139,24
498,Kamilah,Nevison,23,835,162,28
499,Maurizio,Whayman,42,406,41,21
500,Kore,Borrows,66,815,157,15
501,Tomaso,Andriss,165,139,195,13
502,Miguel,Flynn,75,421,156,29
503,Yasmin,McCroary,154,272,86,7
504,Keeley,Maeer,161,215,56,6
505,Onfroi,Veldens,75,630,178,23
506,Rhianon,Simonato,186,346,113,36
507,Saree,Gaitskill,95,317,9,28
508,Weber,Stayte,137,601,114,5
509,Jeanine,Caig,42,696,57,17
510,Marcela,Kubista,147,333,80,29
511,Andi,Jiles,57,243,35,16
512,Sandi,Kemble,112,234,73,39
513,Shawn,Robertsson,58,972,74,30
514,Evy,Bartle,97,987,184,23
515,Blake,Sally,111,708,48,9
516,Harp,McCleverty,26,158,31,35
517,Leland,Cordle,96,477,35,39
518,Udale,Cardenoso,150,272,172,29
519,Berty,Shetliff,29,691,184,31
520,Westley,Jardine,14,338,10,1
521,Karil,James,141,154,161,17
522,Blakelee,McMorran,9,1,55,25
523,Marshal,Sanders,67,580,186,6
524,Sanson,Roger,140,174,174,12
525,Marven,Bernhardsson,163,430,96,34
526,Jolene,Stuer,144,980,158,21
527,Dulcy,McAsgill,106,496,18,39
528,Nealy,Dudny,47,112,31,38
529,Neely,Lucchi,22,329,64,23
530,Kimmi,Koubek,64,313,179,15
531,Leland,Waite,113,507,141,9
532,Kimbell,Mathissen,174,519,76,28
533,Octavia,Osment,25,933,150,9
534,Justin,Gainsford,200,544,93,2
535,Libbey,Robun,173,193,63,28
536,Nonna,Browse,185,746,57,15
537,Pamela,Borsi,166,541,80,21
538,Stevy,Rowell,91,297,67,5
539,Cinda,Spurman,64,773,55,32
540,Biddy,Janaszkiewicz,137,998,197,22
541,Elwin,Puddin,9,742,92,2
542,Thebault,Lamers,107,77,193,37
543,Monti,Jarmain,30,856,147,36
544,Leone,Jenney,123,902,115,12
545,Dael,Braunton,164,187,25,21
546,Ardra,Ort,129,252,2,36
547,Farand,Banasik,110,219,47,1
548,Gib,Danat,145,287,35,28
549,Filippa,Hodcroft,195,580,150,24
550,Hagan,Tout,33,959,179,22
551,Leslie,Erasmus,23,119,92,11
552,Ernest,MacNeil,49,862,15,38
553,Henriette,Claesens,182,579,30,26
554,Netti,Flooks,52,498,9,21
555,Almire,Rotlauf,9,381,132,23
556,Neil,Tilney,12,806,186,11
557,Casie,Burdin,13,776,197,37
558,Marisa,Cowterd,189,695,42,29
559,Trista,Rishman,171,51,42,2
560,Wally,Swafford,8,25,130,13
561,Tull,Jessup,66,992,148,16
562,Cally,Maddinon,171,108,182,25
563,Kain,Bicheno,2,969,57,5
564,Dianemarie,Beadell,198,297,59,37
565,Tamarra,Fellows,64,69,186,8
566,Patten,Cartin,152,393,132,24
567,Kathi,Scamal,174,263,95,11
568,Cleve,Hughes,197,808,100,21
569,Elyse,Glitherow,74,792,40,1
570,Sharl,Ticksall,186,309,142,17
571,Nettie,Kewley,197,177,109,8
572,Ruthy,Whiskin,1,186,34,39
573,Roda,Ohm,19,71,154,37
574,Caitlin,Rosencrantz,88,941,57,20
575,Seka,Wardroper,54,425,18,27
576,Tove,Crummey,167,578,54,24
577,Devin,Antognoni,170,267,171,8
578,Toiboid,Ritmeyer,143,216,1,40
579,Jeanna,Chanders,152,714,131,16
580,Orelia,Penwright,98,582,126,19
581,Freddie,Ribbon,69,463,109,29
582,Vick,Kettel,17,463,46,26
583,Clifford,Trimble,65,200,97,17
584,Jada,Garroch,188,26,37,38
585,Aaron,Grout,144,525,40,31
586,Ethelyn,Davydenko,120,350,120,24
587,Reagen,Kelston,139,852,77,16
588,Josephina,Rishbrook,52,420,152,10
589,Aprilette,Rodman,186,63,19,7
590,Layne,Jenyns,130,248,104,40
591,Curtice,Andrzej,167,339,187,8
592,Bernardina,Eriksson,150,550,130,30
593,Ginelle,Lovegrove,161,193,183,40
594,Kakalina,Skirvane,109,782,39,24
595,Annetta,Vigers,79,176,105,13
596,Kimball,Fonteyne,29,190,192,2
597,Reamonn,Mc Harg,44,990,126,16
598,Cord,Pimley,35,190,156,6
599,Philippe,Hulburd,2,108,128,24
600,Brenn,Goodey,136,988,44,31
601,Chrissie,Schoular,157,226,145,24
602,Xenia,Attridge,123,54,195,37
603,Agosto,Skune,91,809,36,40
604,Dee,Hicken,28,74,168,20
605,Aindrea,Dykins,45,684,54,4
606,Collin,Croce,64,563,199,7
607,Nappie,Cargen,57,760,119,22
608,Arlina,Bodker,165,481,163,32
609,Retha,Jarvis,128,792,159,19
610,Dore,Struss,89,388,27,23
611,Clevie,Longfut,125,445,12,11
612,Vinnie,Killik,50,615,111,38
613,Herschel,Dudding,146,724,102,14
614,Hadria,Shore,18,558,83,11
615,Timmie,Sibson,68,864,17,21
616,Manfred,Blaylock,5,923,117,32
617,Donia,Dunsmore,155,359,127,4
618,Dewie,Scardefield,96,597,89,16
619,Caprice,McFadin,150,729,112,1
620,Redd,Verman,165,405,140,7
621,Kayle,Smalls,45,114,137,14
622,Aprilette,Taudevin,18,80,35,6
623,Rudd,Jimmison,117,561,76,28
624,Malvin,Birbeck,94,391,25,30
625,Pavlov,Prigmore,181,178,54,17
626,Geri,Shucksmith,127,202,16,13
627,Kathlin,Dooland,84,782,108,33
628,Quintina,Reubens,186,364,4,28
629,Walther,Innes,15,720,1,38
630,Forest,Kingston,62,778,169,3
631,Ivie,Tyzack,194,344,150,40
632,Gabie,Hammerstone,173,233,92,35
633,Hillary,Gossop,154,132,142,9
634,Sergei,Kraft,72,14,176,6
635,Kennie,Rimbault,113,443,139,22
636,Lazaro,Smallpeace,73,73,32,11
637,Konstanze,Ferraresi,38,181,40,2
638,Ericha,Beetham,144,717,111,20
639,Murielle,Smaile,5,431,175,5
640,Dottie,Crankshaw,51,653,51,17
641,Garner,Allanby,32,140,119,30
642,Kiel,Ruckledge,175,50,51,13
643,Edward,Bittany,185,115,112,37
644,Sigvard,Lehrahan,140,336,107,6
645,Tootsie,Busen,121,978,66,20
646,Granthem,Jendrassik,75,357,105,14
647,Cherin,Fryd,134,728,64,1
648,Elysee,Stooke,127,161,5,31
649,Mabel,Razzell,153,925,164,32
650,Gweneth,Abramchik,162,417,136,7
651,Colas,McWhorter,135,842,151,5
652,Aubine,Gasson,129,608,132,21
653,Umeko,Hourican,20,366,138,7
654,Berty,Hexter,1,440,169,22
655,Dickie,Macci,146,710,80,31
656,Cathleen,Gennerich,34,515,168,25
657,Valentino,Shadfourth,145,458,4,40
658,Bessy,Awton,80,797,25,25
659,Douglas,Delmonti,117,577,168,38
660,Micki,Housiaux,38,632,18,27
661,Anastasia,Stubbings,119,866,24,23
662,Melony,Yakunin,151,211,192,11
663,Hope,Bobasch,137,771,123,40
664,Terra,Brashier,140,893,158,26
665,Brew,Durant,185,466,41,38
666,Saw,Stubley,96,767,117,16
667,Carolyn,Liccardi,40,431,70,39
668,Eddy,Winkless,14,578,49,19
669,Walther,Eilers,58,872,64,2
670,Reynolds,Charnock,88,57,189,5
671,Diena,Weare,86,270,191,17
672,Ethelbert,Hexam,67,873,183,4
673,Sauveur,O'Howbane,155,874,40,24
674,Helge,Ledley,98,937,24,13
675,Dougy,McGilvra,197,241,81,20
676,Niel,Leake,26,475,121,39
677,Hercules,Gonthard,154,752,8,21
678,Hartley,Torns,141,320,70,35
679,Steve,Seery,171,480,131,6
680,Loria,Whoston,178,311,189,34
681,Amandi,Umney,5,520,66,20
682,Lucias,Mathwin,47,713,65,11
683,Timmy,Stripp,59,3,154,15
684,Rancell,Pennino,166,835,162,20
685,Abelard,Ruppert,42,207,130,15
686,Wesley,Warwicker,8,700,83,15
687,Pierette,Bruhnsen,133,844,198,32
688,Mendie,Valerius,31,438,59,28
